3928ba8	0.761000	0.672000	0.819000	0.791000	0.03	discard	empathy + early promise — R2 promise undermined anchor (no-deal + low scores)
7722542	0.827000	0.830000	0.845000	0.806000	0.00	discard	no-apology R1 — "I know this looks aggressive" is load-bearing (disarms opponent)
33bd999	0.818000	0.815000	0.826000	0.814000	0.00	discard	commitment & consistency — "each takes what matters most" principle weakened empathy
15ffe62	0.814000	0.837000	0.828000	0.778000	0.00	discard	reciprocity nudge — "I moved first and gave up a lot" made model too concessive
9e713ef	0.808000	0.837000	0.838000	0.750000	0.00	discard	tighter R5 20% MID + R6 fallback — added complexity confused model (s7=0.750)
b235be3	0.814000	0.780000	0.849000	0.814000	0.00	discard	total-value ranking + empathy + accept-rule — ranking change didn't help, s42 role-A weak
c8b1e56	0.824000	0.837000	0.830000	0.805000	0.00	discard	super empathy hardball — 40% MID R5 + deadline R5 only (s99 g10=0.55 too generous)
37467c5	0.828000	0.822000	0.847000	0.814000	0.00	discard	deadline empathy hardball — deadline R4/R5 framing + empathy R1-R3 (deadline msgs weaker than pure empathy)
d9335a3	0.809000	0.805000	0.815000	0.808000	0.00	discard	empathy core + deadline close — opportunistic R4 accept added IF/ELSE confusion (0.55/0.56 outliers)
be5751b	0.831000	0.839000	0.834000	0.821000	0.00	discard	deadline hardball v2 — disarm R1 + sell R4 + tighter R5 (improved but deadline R4 still < empathy R4)
4ffeaa3	0.835000	0.845000	0.846000	0.814000	0.00	keep	deadline hardball v3 — amplify deadline pressure (early penalty R1 + urgency R3 + quantity sell R4)
e3fa96d	0.792000	0.738000	0.791000	0.846000	0.00	discard	anchored acceptance — always accept opponent R4 proposal (opponent doesn't concede enough)
293987f	0.820000	0.829000	0.822000	0.808000	0.00	discard	empathy hardball + R3 urgency — deadline pressure in R3 weakens empathy sequence
